protocol: R<x0>,<y0>,<spd0>,<res0>,<x1>,<y1>,<spd1>,<res1>,<x2>,<y2>,<spd2>,<res2>,<ts_ms>,<frame_id> per target frame<\r><\n>
Start<\r><\n>
R-264,1161,0,360,0,0,0,0,0,0,0,0,66,1<\r><\n>
R-263,1160,0,360,0,0,0,0,0,0,0,0,155,2<\r><\n>
R-262,1160,0,360,0,0,0,0,0,0,0,0,244,3<\r><\n>
R-262,1160,0,360,0,0,0,0,0,0,0,0,333,4<\r><\n>
R-262,1161,0,360,0,0,0,0,0,0,0,0,422,5<\r><\n>
R-262,1162,0,360,0,0,0,0,0,0,0,0,511,6<\r><\n>
R-262,1163,0,360,0,0,0,0,0,0,0,0,600,7<\r><\n>
R-262,1164,0,360,0,0,0,0,0,0,0,0,689,8<\r><\n>
R-262,1165,0,360,0,0,0,0,0,0,0,0,778,9<\r><\n>
R-263,1166,0,360,0,0,0,0,0,0,0,0,867,10<\r><\n>
R-263,1168,0,360,0,0,0,0,0,0,0,0,956,11<\r><\n>
R-263,1170,0,360,0,0,0,0,0,0,0,0,1045,12<\r><\n>
R-263,1173,0,360,0,0,0,0,0,0,0,0,1134,13<\r><\n>
R-263,1176,0,360,0,0,0,0,0,0,0,0,1222,14<\r><\n>
R-263,1179,0,360,0,0,0,0,0,0,0,0,1312,15<\r><\n>
R-263,1183,0,360,0,0,0,0,0,0,0,0,1400,16<\r><\n>
R-263,1187,0,360,0,0,0,0,0,0,0,0,1489,17<\r><\n>
R-263,1190,0,360,0,0,0,0,0,0,0,0,1579,18<\r><\n>
R-263,1194,0,360,0,0,0,0,0,0,0,0,1667,19<\r><\n>
R-263,1198,0,360,0,0,0,0,0,0,0,0,1756,20<\r><\n>
R-262,1201,0,360,0,0,0,0,0,0,0,0,1845,21<\r><\n>
R-262,1204,0,360,0,0,0,0,0,0,0,0,1934,22<\r><\n>
R-262,1207,0,360,0,0,0,0,0,0,0,0,2023,23<\r><\n>
R-261,1210,0,360,0,0,0,0,0,0,0,0,2112,24<\r><\n>
R-261,1213,0,360,0,0,0,0,0,0,0,0,2201,25<\r><\n>
R-260,1216,0,360,0,0,0,0,0,0,0,0,2290,26<\r><\n>
R-260,1219,0,360,0,0,0,0,0,0,0,0,2379,27<\r><\n>
R-260,1222,0,360,0,0,0,0,0,0,0,0,2468,28<\r><\n>
R-260,1224,0,360,0,0,0,0,0,0,0,0,2557,29<\r><\n>
R-260,1226,0,360,0,0,0,0,0,0,0,0,2646,30<\r><\n>
R-260,1227,0,360,0,0,0,0,0,0,0,0,2735,31<\r><\n>
R-260,1228,0,360,0,0,0,0,0,0,0,0,2824,32<\r><\n>
R-260,1229,0,360,0,0,0,0,0,0,0,0,2913,33<\r><\n>
R-260,1230,0,360,0,0,0,0,0,0,0,0,3002,34<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3091,35<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3180,36<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3269,37<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3358,38<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3447,39<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3536,40<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3625,41<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3714,42<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3803,43<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3892,44<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,3981,45<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4070,46<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4159,47<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4248,48<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4337,49<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4426,50<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4515,51<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4604,52<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4693,53<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4782,54<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4871,55<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,4960,56<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5049,57<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5138,58<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5227,59<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5316,60<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5405,61<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5494,62<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5583,63<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5672,64<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5761,65<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5849,66<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,5939,67<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6027,68<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6117,69<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6206,70<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6294,71<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6384,72<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6472,73<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6562,74<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6651,75<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6740,76<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6828,77<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,6918,78<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7006,79<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7096,80<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7184,81<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7273,82<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7362,83<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7451,84<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7540,85<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7629,86<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7718,87<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7807,88<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7896,89<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,7985,90<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8074,91<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8163,92<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8252,93<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8341,94<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8430,95<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8519,96<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8608,97<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8697,98<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8786,99<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8875,100<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,8964,101<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9053,102<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9142,103<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9231,104<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9320,105<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9409,106<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9498,107<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9587,108<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9676,109<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9765,110<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9854,111<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,9943,112<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10032,113<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10121,114<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10210,115<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10299,116<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10388,117<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10477,118<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10566,119<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10655,120<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10744,121<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10833,122<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,10922,123<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11011,124<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11100,125<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11189,126<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11278,127<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11367,128<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11456,129<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11545,130<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11634,131<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11723,132<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11812,133<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11901,134<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,11990,135<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12079,136<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12168,137<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12257,138<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12346,139<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12435,140<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12524,141<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12613,142<\r><\n>
R-260,1231,0,360,0,0,0,0,0,0,0,0,12702,143<\r><\n>
